id,price
1388,559
50052,2201
41645,1238
42377,1304
17244,6901
1608,3011
46398,1765
45493,1679
49385,2102
10460,4789
34243,855
24772,13134
42987,1367
51711,2401
43777,1440
22232,10286
1319,2958
43219,1397
21843,9904
53626,552
27497,18193
36554,945
21055,625
23028,631
5536,3854
43434,1415
38522,1033
24964,13453
19771,8341
40271,493
8473,4416
43496,1422
23558,11566
46750,1800
49727,2153
34922,373
31849,776
47712,1885
48446,1974
27596,18443
50090,2206
45996,1724
34230,855
26268,15745
1632,3016
30200,722
24572,12871
23577,11588
27239,17608
18519,7549
36083,925
20868,9088
3751,3454
16971,6777
9526,4617
14936,6015
6916,4137
28649,435
5876,3924
46504,1778
52124,2464
31327,759
26153,15465
1414,2968
34532,868
43946,516
708,2854
46868,1813
45181,1656
2593,3217
8178,4364
44326,521
9353,4584
25126,13677
42131,1279
38422,1026
25560,14394
53408,2669
22905,10947
22529,10570
34238,855
30705,737
46350,1759
38912,1052
5572,3861
39482,1079
27363,646
51896,2431
23822,11888
52801,2570
17155,6849
53440,2673
44534,1603
2008,3102
13058,5411
47659,530
36715,953
39880,1103
8510,4424
45842,1715
30188,722
7180,4185
49279,2090
12680,5306
33612,462
26448,15991
2729,565
36256,935
35986,921
29306,438
9987,4704
30239,723
50377,2250
51115,2338
10439,4786
12668,5303
17841,7197
3799,3465
4918,3725
52396,2509
13206,5456
26517,16169
21504,9598
21229,9376
13373,419
34500,867
28576,675
38516,1033
29434,700
8368,4400
37591,485
8880,4485
38731,1043
13399,602
39083,1060
42610,505
41818,1250
6994,4155
43622,1433
48090,1932
18885,7744
51708,2400
32690,802
18273,7421
9314,4578
45633,525
13114,5429
23825,11897
32104,781
42225,1290
15975,6396
47932,1915
26195,15562
38921,1052
53726,2721
30214,723
1221,2939
50746,2297
24793,13168
24280,12512
16107,6439
22349,10401
40803,1169
49527,2123
45401,1668
13131,5433
49217,2080
8780,4469
7479,4237
28990,686
19634,8254
23002,11060
45422,1668
17823,7187
18622,7598
35108,886
2360,3175
33259,825
27379,647
1281,2951
15703,608
36198,931
35579,906
49985,2190
28895,684
